,Genres,Unnamed: 2,Unnamed: 3,Keywords,Unnamed: 5,Unnamed: 6,Ratings,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Movies,D1,D2,D3,D1,D2,D3,D1,D2,D3,,
Space,0.301,0.358,0.354,0.185,0.198,0.201,0.463,0.475,0.486,,
Single directions,\textbf{0.436},0.463,0.492,0.23,\textbf{0.233},\textbf{0.224},0.466,0.499,0.498,,
Clusters,0.431,\textbf{0.513},\textbf{0.506},0.215,0.22,0.219,\textbf{0.504},\textbf{0.507},\textbf{0.513},,
PPMI,0.429,0.443,0.483,\textbf{0.243},0.224,0.224,0.47,0.453,0.453,,
Topic,0.415,0.472,0.455,0.189,0.05,0.075,0.473,0.243,0.38,,
,Newsgroups,,,Sentiment,,,Reuters,,,,
,D1,D2,D3,D1,D2,D3,D1,D2,D3,,
Rep,0.251,0.366,0.356,0.705,0.77,0.773,0.328,0.413,0.501,,
Single dir,0.418,\textbf{0.49},\textbf{0.537},0.784,0.814,\textbf{0.821},\textbf{0.678},\textbf{0.706},0.72,,
Cluster,0.394,0.433,0.513,0.735,\textbf{0.844},0.813,0.456,0.569,0.583,,
PPMI,0.33,0.407,0.444,0.7,0.719,0.73,0.616,0.699,\textbf{0.723},,
Topic,\textbf{0.431},0.423,0.444,\textbf{0.79},0.791,0.811,0.411,0.527,0.536,,
,Foursquare,,,OpenCYC,,,Geonames,,,,
Placetypes,D1,D2,D3,D1,D2,D3,D1,D2,D3,,
Rep,0.438,0.478,0.454,0.383,0.397,0.396,0.349,0.34,0.367,,
Single dir,\textbf{0.541},0.498,\textbf{0.531},0.404,\textbf{0.428},0.39,\textbf{0.444},\textbf{0.533},\textbf{0.473},,
Cluster,0.462,0.507,0.496,\textbf{0.413},0.42,\textbf{0.429},0.444,0.458,0.47,,
PPMI,0.473,\textbf{0.512},0.491,0.371,0.351,0.352,0.361,0.301,0.242,,
Topic,0.488,0.433,0.526,0.365,0.271,0.313,0.365,0.3,0.219,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
